worker,duration,job,judgment,unit,wqs,wqs_initial
37153540,292.184981685,3,22,22,0.599487051226,0.465712865797
38992703,31.3873015873,3,37,37,0.601279735819,0.510987974114
35903629,23.2666666667,5,29,29,0.603647427745,0.416199787566
36929821,52.0666666667,3,25,25,0.607361414879,0.44998860102
31988217,35.4866666667,5,62,62,0.61543185456,0.464518859096
27042527,45.5882051282,5,62,62,0.619892341215,0.470921071049
37799090,26.5384615385,1,13,13,0.619999772537,0.505974405056
27914150,26.8333333333,1,6,6,0.623628452928,0.468427867384
36430872,58.8,2,6,6,0.629266284068,0.538947569089
11659309,61.75,1,8,8,0.630993189488,0.506794105697
9559045,38.25,1,4,4,0.633161981338,0.51370962132
28813722,24.0,1,1,1,0.63799848216,0.485057055737
27215203,11.6666666667,2,7,7,0.63836819091,0.527975376057
22389656,62.35,4,45,45,0.640546729192,0.502397327758
34534543,67.6666666667,1,6,6,0.640878514608,0.498141184839
23287154,51.1777777778,3,31,31,0.655742483971,0.475764639578
39034513,210.5,1,8,8,0.667245066137,0.4828050827
39021669,54.5,1,8,8,0.670181379801,0.515583148052
33793257,69.7,2,9,9,0.676550750815,0.529816863615
39729423,48.3333333333,1,3,3,0.680477759501,0.600109920769
42424163,26.7375,4,24,24,0.694385132684,0.556609627861
20430407,39.6666666667,1,3,3,0.71871058048,0.519999410155
41280604,60.5555555556,3,5,5,0.72391782953,0.665531034294
20899955,49.5,1,2,2,0.729267851984,0.637890370527
40421145,39.0,1,4,4,0.731882365072,0.613478837292
38158803,19.75,2,4,4,0.736448555574,0.652723264453
41760358,49.0,3,3,3,0.741163895914,0.55308325332
30505505,13.0,1,1,1,0.806497346743,0.793555690791
39744930,9.0,1,1,1,0.940644165264,0.851251771134
