worker,duration,job,judgment,unit,wqs,wqs_initial
40703758,139.25,1,4,4,0.000502750969835,0.00111398495977
18969291,6.0,1,1,1,0.00168646459959,0.00636336290268
43923861,66.0,1,1,1,0.00292433417226,0.00591147063287
43332393,126.333333333,1,3,3,0.00712254998388,0.0102185380567
44214817,16.0,1,6,6,0.00817764026425,0.010743986725
44162427,223.857142857,1,14,14,0.0127745417501,0.0161101693468
43975211,63.6923076923,1,13,13,0.0145300966934,0.0524947697636
44209263,28.0,1,1,1,0.0149846298307,0.019090088708
43971951,28.0,1,7,7,0.0166885008758,0.0815531894714
44022928,14.1666666667,1,6,6,0.0168227310499,0.0823959533055
42577934,40.0,1,13,13,0.0170066255217,0.0158637363754
44208196,171.277777778,1,18,18,0.0191694540737,0.0209120234541
43984981,47.9708737864,1,103,103,0.0191884146612,0.0351661490859
25496660,14.6666666667,1,6,6,0.0244903246684,0.038152239697
44064888,107.571428571,1,7,7,0.0253182269903,0.029951789301
44031573,38.6666666667,1,6,6,0.027537404857,0.0188902174431
7348582,50.5,1,2,2,0.0298811597777,0.0242285901893
36891115,66.1578947368,1,57,57,0.0304718740312,0.0287165578717
44181754,198.666666667,1,15,15,0.0305073936284,0.0383496173375
20407931,32.7142857143,1,7,7,0.0311256066529,0.0284943996668
28526462,53.0,1,1,1,0.0342935271115,0.0311739843194
14528761,22.0,1,1,1,0.0358471049174,0.0326760441692
44005605,99.3333333333,1,9,9,0.0372751383812,0.0397542954293
41601719,63.25,1,4,4,0.0403893559822,0.0418184336959
43611950,22.4,1,5,5,0.0416953449505,0.0502311079077
44227220,133.0,1,4,4,0.0417752704016,0.0670835507886
44111966,21.3333333333,1,18,18,0.0430177645145,0.0480502123971
35962748,125.0,1,1,1,0.043403558739,0.0487348742301
44222882,101.5,1,14,14,0.0455535920643,0.0583412090288
44303435,16.8666666667,1,15,15,0.0455759172998,0.0414727117738
44159593,247.333333333,1,6,6,0.046442898376,0.0465490646247
44250230,88.5,1,2,2,0.046973873891,0.0776306055128
34366329,62.0,1,1,1,0.0481999012857,0.0571092189203
44176903,52.8,1,5,5,0.0493274927817,0.0250583918832
8261925,144.5,1,2,2,0.0501898571765,0.0619931485266
15261099,7.0,1,1,1,0.0504451924012,0.0630818103019
41127744,37.6610169492,1,59,59,0.0514716560694,0.0495203415004
44207097,82.0281690141,1,71,71,0.0527470462724,0.0788708098294
43498598,10.0,1,3,3,0.0558032368278,0.046680140943
44303445,12.4,1,15,15,0.05623827096,0.0474375345761
39531214,28.7,1,30,30,0.0602528451645,0.0578602506082
44191955,25.0,1,15,15,0.0603526270187,0.060984452272
17950689,108.044025157,1,159,159,0.0611422295568,0.0426702808227
44215040,45.9333333333,1,15,15,0.063368869743,0.0423882680006
43630454,55.099009901,1,101,101,0.0636249615652,0.0507534624423
18549673,56.0,1,1,1,0.0636706697189,0.0621473457244
44162476,10.5,1,2,2,0.0638606279323,0.0519138255899
44179448,28.625,1,24,24,0.0639683642166,0.0356885803324
44229723,49.6842105263,1,19,19,0.0644789988573,0.032397762708
44228548,74.9411764706,1,17,17,0.0650325826634,0.0547294865085
40735073,123.25,1,8,8,0.0652368078756,0.0663175148136
44217106,61.4814814815,1,54,54,0.0653636252865,0.0852778288597
44215146,187.4,1,15,15,0.06617362435,0.0629962251262
43985816,39.2888888889,1,45,45,0.0667044313638,0.0652707897931
42820715,90.2,1,15,15,0.0678076968186,0.0808449771858
44229659,38.2,1,5,5,0.0683166812235,0.0597917922394
43883205,33.1071428571,1,28,28,0.0689943362372,0.0724603125509
44170083,82.8888888889,1,63,63,0.0708352755523,0.0559355155838
